make,model,badge,category,displacement_cc,year,power_hp,engine,cooling,gearbox,transmission,dry_weight_kg,seat_height_mm,fuel_capacity_l,wheelbase_mm
Acabion,DA Vinci 650-VI,,Prototype / concept model,0,2011,804,Electric,Liquid,,Chain,420,,,
Acabion,Gtbo 55,,Sport,1300,2007,541,In-line four,Liquid,6-speed,,360,,,
Acabion,Gtbo 600 Daytona-VI,,Prototype / concept model,0,2011,536,Electric,Liquid,,,420,,,
Acabion,Gtbo 600 Daytona-VI,,Prototype / concept model,0,2021,536,Electric,Liquid,,,420,,,
Acabion,Gtbo 70,,Prototype / concept model,1300,2007,689,In-line four,Liquid,6-speed,,300,,,
Access,37 Offroad E-Scooter,,Scooter,0,2021,1.1,Electric,,Automatic,Chain,42,750,,
Access,AMS 3.20 Supercross,,ATV,280,2016,18.8,Single cylinder,Air,Automatic,Chain,225,,14,
Access,AMS 4.30 Supermoto EFI,,ATV,359,2016,29.5,Single cylinder,Air,Automatic,Chain,236,,14,
Access,AMS 4.38 SM Gear Shift,,ATV,449,2016,37.6,Single cylinder,Air,5-speed,Chain,236,,14,
Access,AMS 4.38 SX Gear Shift,,ATV,449,2016,37.6,Single cylinder,Air,5-speed,Chain,236,,14,
Access,AMS 6.46 Basic,,ATV,608,2016,45.6,Single cylinder,Air,Automatic,Chain,346,,21,
Access,AMS 6.46 LUX,,ATV,608,2016,45.6,Single cylinder,Air,Automatic,Chain,346,,21,
Access,AMS 6.46 LUX Long,,ATV,608,2016,45.6,Single cylinder,Air,Automatic,Chain,346,,21,
Access,AMS 8.57 LUX LV,,ATV,781,2016,56.3,,Air,Automatic,Chain,362,,21,
Access,AMX 8.57 EFI,,ATV,781,2018,57.7,,Liquid,Automatic,Chain,344,,21,
Access,Minisport 110,,ATV,107,2021,6.8,Single cylinder,Air,Automatic,Chain,95,610,,
Access,Shade 200,,ATV,176,2021,13.1,,Air,Automatic,Chain,201,,,
Access,Shade 420,,ATV,359,2018,26.8,Single cylinder,Liquid,Automatic,Chain,321,,16.6,
Access,Shade Sport 650,,ATV,608,2018,45.6,Single cylinder,Liquid,Automatic,Chain,334,,21,
Access,Shade Sport 650 EPS,,ATV,608,2020,45.6,Single cylinder,Liquid,Automatic,Chain,342,,21,
Access,Shade Sport 850,,ATV,781,2018,57.7,Single cylinder,Liquid,Automatic,Chain,334,,21,
Access,Shade Sport 850 LV,,ATV,781,2020,57.7,Single cylinder,Liquid,Automatic,Chain,342,,21,
Access,Shade Sport 850 Touring,,ATV,781,2020,57.7,Single cylinder,Liquid,Automatic,Chain,358,,21,
Access,Shade Xtreme 650,,ATV,608,2022,45.6,Single cylinder,Liquid,Automatic,Chain,330,,21,
Access,Shade Xtreme 650 NG,,ATV,608,2020,45.6,Single cylinder,Liquid,Automatic,Chain,330,,21,
Access,Shade Xtreme 850,,ATV,781,2018,57.7,Single cylinder,Liquid,Automatic,Chain,329,,21,
Access,Shade Xtreme 850 DLX EPS,,ATV,781,2020,57.7,Single cylinder,Liquid,Automatic,Chain,329,,21,
Access,Xtreme Enduro 300,,ATV,280,2021,18.8,Single cylinder,Liquid,Automatic,Chain,225,,,
Access,Xtreme S 480,,ATV,449,2021,,Single cylinder,Liquids,Automatic,Chain,236,,14,
Access,Xtreme Supermoto 300,,ATV,280,2021,18.8,Single cylinder,Liquid,Automatic,Chain,225,,,
Ace,EXP-4,,Sport,1299,1923,,In-line four,,,Chain,,,,
Ace,Standard,,Allround,1234,1924,,Twin,,,Chain,165,,,
Ace,Standard,,Allround,1234,1925,,Twin,,,Chain,165,,,
Ace,Standard,,Allround,1234,1926,,Twin,,,Chain,165,,,
Ace,Standard Model,,Allround,1234,1927,,Twin,,,Chain,165,,,
Adiva,AD 125,,Scooter,124,2009,14.8,Single cylinder,Liquid,Automatic,Belt,175,,13.5,1759
Adiva,AD 125,,Scooter,124,2011,13,Single cylinder,Liquid,Automatic,Belt,171,,13.5,1640
Adiva,AD 125LE,,Scooter,124,2010,13,Single cylinder,Liquids,Automatic,Belt,171,,13.5,1640
Adiva,AD 200,,Scooter,171,2011,15.8,Single cylinder,Liquids,Automatic,Belt,172,,12,1560
Adiva,AD 250,,Scooter,244,2009,21.5,Single cylinder,Liquid,,,175,,13.5,1759
Adiva,AD TRE,,Scooter,205,2014,20.6,Single cylinder,the air,Automatic,Belt,118,740,13,
Adiva,AD TRE 55,,Scooter,205,2014,20.6,Single cylinder,Air,Automatic,Belt,215,740,13,
Adiva,AD125,,Scooter,124,2008,14.8,Single cylinder,,,,175,,,1759
Adiva,AD250,,Scooter,244,2008,21.5,Single cylinder,,,,175,,,1759
Adiva,AD3 300,,Scooter,299,2018,,Single cylinder,Liquid,Automatic,,202,700,11,1560
Adiva,AD3 300,,Scooter,299,2019,29.4,Single cylinder,Liquid,Automatic,,202,700,11,1560
Adiva,AD3 300LT,,Scooter,299,2020,29.4,Single cylinder,Liquid,Automatic,,202,700,12.2,1560
Adiva,AD3 400,,Scooter,399,2018,36.7,Single cylinder,Liquid,Automatic,,257,770,11,1560
Adiva,AD3 400,,Scooter,399,2019,36.7,Single cylinder,Liquid,Automatic,,257,770,11,1560
Adiva,AR 125,,Scooter,124,2011,13,,Liquid,Automatic,Belt,171,,12,1560
Adiva,AR 200,,Scooter,171,2011,15.8,Single cylinder,Liquid,Automatic,Belt,172,,12,1560
Adiva,AR3 200,,Scooter,190,2018,18.8,,Liquid,Automatic,,231,700,14,1751
Adiva,Birdie,,Scooter,124,2012,9.4,Single cylinder,Air,,,118,,5,1400
Adiva,Cargo 3,,Scooter,0,2013,1.3,Electric,Air,1-speed,,,720,,
Adiva,Cargo 3,,Scooter,0,2014,1.3,Electric,airr,1-speed,,60,720,,
Adiva,CARGO2,,Scooter,0,2011,,Electric,,1-speed,,60,700,,1300
Adiva,E-Moving,,Scooter,0,2013,0.8,Electric,Air,1-speed,,63,,,
